,HINDUNILVR,LT,INFY,HDFCBANK,SBIN,RELIANCE,BHARTIARTL,ICICIBANK,TCS,ITC
HINDUNILVR,1.0,0.1246187402119148,0.2163559776387183,0.17757750586724494,0.08330829417719963,0.18581646787921297,0.13841107162027064,0.14001837107152407,0.24422633794783138,0.3113958558669061
LT,0.1246187402119148,1.0,0.32940784976682297,0.39514683008283363,0.467439474845359,0.41670163410660965,0.31050820464684054,0.4301437071666179,0.32191388854548086,0.2740321414927667
INFY,0.2163559776387183,0.32940784976682297,1.0,0.26012310067258737,0.19818719429984197,0.2777221048423143,0.26031186409031587,0.2677740378871249,0.6995150307250354,0.18200160425340964
HDFCBANK,0.17757750586724494,0.39514683008283363,0.26012310067258737,1.0,0.42388449939778644,0.3636286832200756,0.2824575523712606,0.5322775203443407,0.22763444449731257,0.2247708756032179
SBIN,0.08330829417719963,0.467439474845359,0.19818719429984197,0.42388449939778644,1.0,0.4249836881472252,0.28873201376490343,0.5590495977384767,0.20093903253139672,0.3306535676468442
RELIANCE,0.18581646787921297,0.41670163410660965,0.2777221048423143,0.3636286832200756,0.4249836881472252,1.0,0.31494576301509913,0.3671871968685528,0.2940083123435741,0.3113497033967247
BHARTIARTL,0.13841107162027064,0.31050820464684054,0.26031186409031587,0.2824575523712606,0.28873201376490343,0.31494576301509913,1.0,0.33369809089130886,0.24803785608459836,0.22934211922380496
ICICIBANK,0.14001837107152407,0.4301437071666179,0.2677740378871249,0.5322775203443407,0.5590495977384767,0.3671871968685528,0.33369809089130886,1.0,0.2170271774951322,0.2797430811654143
TCS,0.24422633794783138,0.32191388854548086,0.6995150307250354,0.22763444449731257,0.20093903253139672,0.2940083123435741,0.24803785608459836,0.2170271774951322,1.0,0.17634433171614294
ITC,0.3113958558669061,0.2740321414927667,0.18200160425340964,0.2247708756032179,0.3306535676468442,0.3113497033967247,0.22934211922380496,0.2797430811654143,0.17634433171614294,1.0
